Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc356,10,6,3,6,8,6,9,6,2,13,21,40,8,7,9,5,csc
ciit/fa14-bcs-106/isb,csc441,2,3,0,10,6,1,1,2,23,24,18,45,5,0,2,6,csc
ciit/fa14-bcs-106/isb,csc455,6,4,4,9,9,4,6,9,6,14,NULL,49,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc483,4,7,5,6,8,1,6,2,23,38,NULL,26,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc498,2,1,6,7,2,1,7,8,13,49,NULL,46,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,eee440,9,3,6,4,7,2,9,3,10,40,NULL,45,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1092/isb,csc356,4,8,5,9,5,9,8,4,18,42,22,42,3,3,9,10,csc
ciit/fa14-bcs-1092/isb,csc441,2,3,4,1,5,8,0,2,1,34,18,38,1,7,1,10,csc
ciit/fa14-bcs-1092/isb,csc455,2,2,9,8,3,0,9,3,3,14,NULL,42,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc483,7,8,7,3,9,3,4,0,18,13,NULL,49,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc498,4,3,10,9,3,3,4,3,3,49,NULL,40,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,eee440,8,6,4,8,0,10,5,4,16,12,NULL,27,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1139/isb,csc356,3,1,5,6,6,6,4,1,9,30,25,27,7,0,3,1,csc
ciit/fa14-bcs-1139/isb,csc441,8,5,10,10,1,2,6,4,11,20,24,32,9,0,2,6,csc
ciit/fa14-bcs-1139/isb,csc455,2,8,0,2,3,0,2,2,2,50,NULL,31,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc483,10,1,4,7,10,6,7,4,15,28,NULL,20,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc498,4,2,7,9,2,4,8,2,21,49,NULL,42,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,eee440,6,1,10,4,1,1,7,9,21,38,NULL,39,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1189/isb,csc356,1,9,10,9,9,3,1,1,20,17,24,42,10,8,5,4,csc
ciit/fa14-bcs-1189/isb,csc441,9,7,8,3,1,7,2,10,6,48,25,49,6,4,8,10,csc
ciit/fa14-bcs-1189/isb,csc455,1,8,3,0,8,7,0,1,19,47,NULL,33,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc483,7,0,5,6,4,3,10,4,8,40,NULL,33,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc498,2,4,8,5,8,9,3,4,23,25,NULL,21,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,eee440,0,3,1,4,9,7,2,0,23,29,NULL,44,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1190/isb,csc356,4,10,6,7,9,9,3,9,15,44,15,29,8,10,5,0,csc
ciit/fa14-bcs-1190/isb,csc441,1,2,1,2,3,8,6,10,25,42,25,32,5,2,7,0,csc
ciit/fa14-bcs-1190/isb,csc455,6,0,3,0,6,1,1,4,19,25,NULL,22,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc483,10,5,7,7,6,6,1,1,8,27,NULL,40,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc498,1,8,4,7,2,7,8,0,19,20,NULL,43,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,eee440,5,7,9,5,1,3,5,8,13,47,NULL,33,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1241/isb,csc356,2,2,5,0,1,1,9,2,14,44,22,41,0,7,2,10,csc
ciit/fa14-bcs-1241/isb,csc441,7,8,7,1,7,9,8,10,9,41,16,49,7,0,4,0,csc
ciit/fa14-bcs-1241/isb,csc455,3,10,4,0,4,5,8,8,9,27,NULL,41,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc483,6,1,10,7,2,8,9,8,23,38,NULL,35,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc498,3,3,8,0,4,10,8,6,13,14,NULL,28,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,eee440,7,2,8,0,5,3,3,0,0,16,NULL,24,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1255/isb,csc356,5,1,7,1,2,7,1,7,10,31,22,49,8,4,3,5,csc
ciit/fa14-bcs-1255/isb,csc441,0,9,7,2,5,5,8,1,9,42,25,50,0,7,1,7,csc
ciit/fa14-bcs-1255/isb,csc455,8,2,8,8,8,7,0,0,4,33,NULL,50,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc483,7,3,3,10,3,1,8,3,0,33,NULL,45,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc498,8,0,8,6,2,10,1,1,25,34,NULL,40,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,eee440,6,1,4,6,10,0,5,1,18,13,NULL,49,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1272/isb,csc356,0,9,0,3,1,6,9,4,3,49,20,40,7,4,10,9,csc
ciit/fa14-bcs-1272/isb,csc441,2,4,10,7,10,6,1,4,16,31,17,40,3,7,4,4,csc
ciit/fa14-bcs-1272/isb,csc455,9,10,0,0,3,10,4,3,16,10,NULL,20,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc483,1,10,7,0,10,5,4,6,4,29,NULL,45,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc498,0,10,5,5,9,8,8,3,11,38,NULL,46,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,eee440,3,8,1,6,6,8,9,8,2,40,NULL,29,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1354/isb,csc356,9,7,4,1,4,0,2,10,17,14,20,40,5,10,1,8,csc
ciit/fa14-bcs-1354/isb,csc441,2,3,5,4,8,4,9,6,22,28,19,47,7,0,2,5,csc
ciit/fa14-bcs-1354/isb,csc455,1,2,3,5,3,5,1,2,6,36,NULL,33,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc483,7,7,1,8,4,10,1,2,9,36,NULL,26,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc498,0,8,3,5,3,3,3,4,10,47,NULL,40,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,eee440,7,7,6,2,6,0,10,1,1,37,NULL,45,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1429/isb,csc356,10,10,2,6,8,5,5,7,18,26,23,36,3,1,2,7,csc
ciit/fa14-bcs-1429/isb,csc441,10,1,5,9,4,7,1,4,7,37,20,48,7,4,8,5,csc
ciit/fa14-bcs-1429/isb,csc455,7,3,0,6,10,1,10,2,11,41,NULL,40,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc483,4,10,9,2,9,3,3,1,20,12,NULL,46,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc498,1,8,4,9,0,2,7,8,17,30,NULL,37,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,eee440,7,9,8,0,5,9,9,6,3,10,NULL,41,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1443/isb,csc356,0,6,1,3,9,3,2,6,8,12,20,34,2,3,2,4,csc
ciit/fa14-bcs-1443/isb,csc441,10,5,10,5,4,5,5,4,20,47,16,45,5,8,3,9,csc
ciit/fa14-bcs-1443/isb,csc455,7,0,8,4,3,7,9,1,17,33,NULL,44,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc483,1,1,5,0,2,4,9,10,6,10,NULL,36,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc498,10,2,10,8,6,1,8,1,12,35,NULL,27,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,eee440,10,3,6,5,1,8,4,3,16,20,NULL,20,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1509/isb,csc356,4,1,10,6,10,4,5,10,8,35,24,30,4,6,4,7,csc
ciit/fa14-bcs-1509/isb,csc441,10,5,1,4,3,2,6,8,15,25,23,36,0,5,8,1,csc
ciit/fa14-bcs-1509/isb,csc455,8,7,5,6,9,3,5,10,19,29,NULL,23,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc483,9,0,2,8,0,7,9,10,1,19,NULL,47,NULL,NULL,NULL,NULL,csc
