Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-2082/isb,bio231,10,6,9,6,3,5,6,5,16,34,NULL,NULL,NULL,NULL,NULL,NULL,bio,3
ciit/fa14-bse-2104/isb,bio231,7,9,4,1,4,6,9,2,20,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.54
ciit/fa14-bse-2117/isb,bio231,1,5,10,2,7,9,1,3,25,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.19
ciit/fa14-bse-2125/isb,bio231,9,9,4,1,2,7,10,7,18,25,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.9
ciit/fa14-bse-2133/isb,bio231,3,9,3,6,4,6,1,8,18,37,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.71
ciit/fa14-bse-2137/isb,bio231,7,7,8,8,2,6,6,1,25,30,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.16
ciit/fa14-bse-2180/isb,bio231,2,10,10,7,2,10,7,4,16,47,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.88
ciit/fa14-bse-219/isb,bio231,4,4,10,3,1,1,2,4,20,33,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.45
ciit/fa14-bse-2191/isb,bio231,2,10,6,3,1,6,1,5,23,32,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.81
ciit/fa14-bse-2206/isb,bio231,4,5,8,2,9,6,1,3,16,45,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.81
ciit/fa14-bse-2226/isb,bio231,4,2,4,5,9,9,1,4,21,35,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.06
ciit/fa14-bse-2231/isb,bio231,1,3,2,10,10,3,7,6,18,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.29
ciit/fa14-bse-2258/isb,bio231,4,1,10,10,1,2,3,1,25,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.86
ciit/fa14-bse-2289/isb,bio231,8,6,7,9,10,8,2,5,23,38,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.37
ciit/fa14-bse-23/isb,bio231,10,6,1,5,1,10,2,8,19,25,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.14
ciit/fa14-bse-2302/isb,bio231,7,5,7,6,9,1,7,4,16,37,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.35
