Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc291,2,7,6,5,7,6,3,4,12,30,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc322,8,5,6,5,2,7,5,10,5,39,23,35,10,9,3,10,csc
ciit/fa14-bcs-106/isb,csc371,4,4,8,3,4,7,0,4,19,48,15,46,4,7,8,4,csc
ciit/fa14-bcs-106/isb,hum111,8,10,9,3,4,0,9,0,14,31,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-106/isb,mth231,0,8,1,8,0,1,6,3,25,18,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-106/isb,mth262,6,5,10,5,10,2,4,2,18,39,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1092/isb,csc291,6,10,0,0,10,9,6,5,3,37,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc322,7,4,7,5,7,5,1,2,23,20,17,47,6,4,8,9,csc
ciit/fa14-bcs-1092/isb,csc371,3,4,10,2,6,0,7,10,17,31,23,40,4,8,2,7,csc
ciit/fa14-bcs-1092/isb,hum111,6,8,0,2,10,4,9,4,21,12,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1092/isb,mth231,6,4,3,1,6,8,1,1,9,29,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1092/isb,mth262,5,7,10,8,2,4,4,10,6,34,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1139/isb,csc291,5,0,5,4,6,8,7,10,11,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc322,3,6,3,8,3,8,0,5,4,38,18,45,9,6,0,9,csc
ciit/fa14-bcs-1139/isb,csc371,9,4,8,2,7,6,7,7,10,22,22,34,7,0,6,8,csc
ciit/fa14-bcs-1139/isb,hum111,0,2,7,3,9,4,7,9,14,19,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1139/isb,mth231,0,2,1,2,0,5,9,5,23,25,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1139/isb,mth262,8,7,5,10,3,9,7,10,1,35,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1189/isb,csc291,2,3,10,7,10,7,5,10,17,46,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc322,6,10,1,4,10,8,4,9,4,15,15,29,0,10,6,10,csc
ciit/fa14-bcs-1189/isb,csc371,9,0,4,9,7,5,9,2,5,41,16,29,8,9,9,5,csc
ciit/fa14-bcs-1189/isb,hum111,8,4,3,1,2,7,4,1,15,12,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1189/isb,mth231,7,10,1,5,6,1,3,0,12,20,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1189/isb,mth262,7,9,3,2,3,5,3,3,20,30,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1190/isb,csc291,3,0,3,8,4,6,9,1,3,31,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc322,5,10,5,3,1,9,0,2,8,33,24,45,1,0,2,8,csc
ciit/fa14-bcs-1190/isb,csc371,3,3,8,7,1,6,2,0,6,48,25,36,0,2,2,2,csc
ciit/fa14-bcs-1190/isb,hum111,3,3,0,4,4,2,1,9,10,41,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1190/isb,mth231,1,1,3,2,7,2,0,7,25,18,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1190/isb,mth262,3,4,9,7,8,5,4,6,1,45,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1241/isb,csc291,7,0,0,4,5,10,1,9,12,27,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc322,7,4,0,2,1,6,5,5,14,21,23,38,8,6,3,5,csc
ciit/fa14-bcs-1241/isb,csc371,6,6,1,5,4,2,6,6,3,11,18,31,9,3,10,4,csc
ciit/fa14-bcs-1241/isb,hum111,4,8,8,5,8,5,8,6,19,26,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1241/isb,mth231,8,5,0,10,10,6,3,10,12,29,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1241/isb,mth262,2,1,1,8,2,1,8,8,9,32,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1255/isb,csc291,7,2,4,4,0,1,5,0,18,19,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc322,6,3,5,4,9,0,7,1,20,10,16,41,0,5,0,5,csc
ciit/fa14-bcs-1255/isb,csc371,10,8,9,9,0,6,7,1,10,17,21,49,10,1,10,5,csc
ciit/fa14-bcs-1255/isb,hum111,5,10,1,1,8,4,6,1,2,13,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1255/isb,mth231,9,5,3,1,4,9,8,2,6,12,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1255/isb,mth262,6,4,3,6,2,8,2,7,1,28,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1272/isb,csc291,0,1,0,1,9,10,6,3,16,50,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc322,7,9,3,4,1,8,5,5,9,39,23,35,6,9,1,2,csc
ciit/fa14-bcs-1272/isb,csc371,7,4,4,8,9,2,0,7,1,42,19,45,8,10,5,7,csc
ciit/fa14-bcs-1272/isb,hum111,9,1,1,0,3,0,0,5,0,23,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1272/isb,mth231,0,3,8,8,3,1,7,2,20,43,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1272/isb,mth262,10,6,3,6,1,4,6,3,22,31,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1354/isb,csc291,6,7,3,3,10,4,2,6,24,44,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc322,4,5,2,7,3,4,4,1,25,24,21,28,9,4,4,1,csc
ciit/fa14-bcs-1354/isb,csc371,9,3,5,4,6,1,5,2,4,31,16,36,9,10,9,4,csc
ciit/fa14-bcs-1354/isb,hum111,4,0,6,8,1,8,3,4,7,22,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1354/isb,mth231,4,8,6,8,10,9,6,0,3,30,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1354/isb,mth262,3,1,4,7,8,9,5,8,5,26,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1429/isb,csc291,4,0,1,9,0,10,2,8,19,29,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc322,10,10,10,2,6,8,10,10,22,23,16,25,8,3,10,7,csc
ciit/fa14-bcs-1429/isb,csc371,0,9,9,1,7,8,10,3,12,50,15,27,10,7,10,10,csc
ciit/fa14-bcs-1429/isb,hum111,3,5,8,2,2,6,9,2,13,16,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1429/isb,mth231,3,6,4,5,10,2,6,8,7,41,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1429/isb,mth262,10,10,9,3,3,0,4,6,13,36,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1443/isb,csc291,2,3,5,0,10,8,1,6,5,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc322,3,10,10,0,5,2,2,6,23,47,23,37,3,8,2,1,csc
ciit/fa14-bcs-1443/isb,csc371,3,7,2,7,6,6,8,1,25,40,16,48,6,3,3,5,csc
ciit/fa14-bcs-1443/isb,hum111,3,5,0,7,0,5,5,3,8,42,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1443/isb,mth231,8,10,7,10,5,9,0,9,2,43,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1443/isb,mth262,4,7,8,1,1,1,6,3,19,48,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1509/isb,csc291,0,5,9,3,2,10,3,8,25,28,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc322,9,2,1,8,1,7,0,8,14,21,20,42,6,5,5,7,csc
ciit/fa14-bcs-1509/isb,csc371,9,8,7,0,7,2,4,0,2,49,22,25,10,6,2,9,csc
ciit/fa14-bcs-1509/isb,hum111,0,7,7,1,10,4,5,0,4,37,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1509/isb,mth231,3,8,8,8,8,4,6,2,9,27,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1509/isb,mth262,8,2,9,0,7,1,4,9,19,31,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1600/isb,csc291,5,5,4,2,3,3,0,10,4,36,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1600/isb,csc322,4,3,2,0,5,10,9,5,5,42,23,41,2,5,9,4,csc
ciit/fa14-bcs-1600/isb,csc371,0,4,5,1,7,10,1,9,21,29,16,34,10,1,9,4,csc
ciit/fa14-bcs-1600/isb,hum111,1,5,0,10,1,7,1,10,6,19,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1600/isb,mth231,3,2,6,6,5,9,2,8,11,41,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1600/isb,mth262,10,9,9,7,5,9,0,6,7,42,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-163/isb,csc291,6,7,6,1,7,6,4,10,24,21,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-163/isb,csc322,5,5,3,6,3,5,4,4,25,33,24,41,1,1,2,3,csc
ciit/fa14-bcs-163/isb,csc371,3,5,8,1,3,9,3,0,10,23,23,32,6,7,0,2,csc
ciit/fa14-bcs-163/isb,hum111,5,6,3,6,10,7,2,0,23,22,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-163/isb,mth231,2,1,4,5,9,9,3,3,18,32,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-163/isb,mth262,4,9,2,0,2,2,7,5,3,44,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1652/isb,csc291,2,1,7,7,1,0,0,2,24,29,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1652/isb,csc322,2,1,8,2,3,7,4,3,1,21,17,42,5,5,2,8,csc
ciit/fa14-bcs-1652/isb,csc371,3,4,6,1,9,8,0,0,14,47,22,27,7,4,4,4,csc
ciit/fa14-bcs-1652/isb,hum111,2,5,1,2,5,3,0,1,13,42,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1652/isb,mth231,5,8,7,5,10,0,3,4,19,29,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1652/isb,mth262,6,3,1,6,6,3,10,1,24,21,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1780/isb,csc291,1,6,6,7,6,7,5,9,0,32,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1780/isb,csc322,10,0,3,6,0,1,7,1,5,47,21,42,7,1,0,6,csc
ciit/fa14-bcs-1780/isb,csc371,9,5,6,1,8,6,6,9,1,26,21,49,0,10,9,5,csc
ciit/fa14-bcs-1780/isb,hum111,1,4,9,9,8,1,4,8,20,49,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1780/isb,mth231,2,2,0,2,4,5,0,6,25,33,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1780/isb,mth262,2,3,3,6,10,8,7,5,25,37,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1796/isb,csc291,4,1,0,6,10,5,4,0,15,41,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1796/isb,csc322,8,3,10,3,9,7,1,10,16,32,16,40,10,10,4,10,csc
ciit/fa14-bcs-1796/isb,csc371,5,5,7,7,3,1,4,2,15,13,25,44,6,3,2,1,csc
ciit/fa14-bcs-1796/isb,hum111,5,5,5,8,7,9,9,0,14,48,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1796/isb,mth231,6,2,6,10,1,6,2,5,21,18,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1796/isb,mth262,1,8,0,4,4,5,7,1,10,14,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1813/isb,csc291,9,4,4,1,5,5,4,9,4,12,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1813/isb,csc322,4,5,8,10,10,1,9,3,16,37,24,40,0,8,7,8,csc
ciit/fa14-bcs-1813/isb,csc371,0,2,1,4,7,6,7,3,14,26,15,34,10,7,6,7,csc
ciit/fa14-bcs-1813/isb,hum111,1,6,2,3,3,10,7,1,20,39,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1813/isb,mth231,9,2,7,0,9,7,10,9,21,12,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1813/isb,mth262,4,7,4,6,4,3,0,1,21,50,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1821/isb,csc291,1,0,6,8,8,2,7,4,5,16,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1821/isb,csc322,3,7,4,6,5,9,5,1,0,45,22,42,8,5,8,7,csc
ciit/fa14-bcs-1821/isb,csc371,10,2,3,7,6,8,4,0,14,41,15,37,6,9,4,2,csc
ciit/fa14-bcs-1821/isb,hum111,2,10,1,8,10,4,6,9,1,17,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1821/isb,mth231,10,5,5,6,7,7,6,9,19,43,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1821/isb,mth262,6,10,2,10,3,6,9,2,23,11,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1860/isb,csc291,0,8,9,0,9,7,6,2,17,39,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1860/isb,csc322,0,6,9,8,1,0,2,9,8,38,16,41,5,5,5,1,csc
ciit/fa14-bcs-1860/isb,csc371,5,2,9,4,10,10,1,1,20,14,25,33,3,1,3,0,csc
ciit/fa14-bcs-1860/isb,hum111,9,5,10,6,0,1,8,1,18,39,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1860/isb,mth231,3,6,6,7,10,1,6,4,9,36,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1860/isb,mth262,0,5,10,6,8,3,6,8,3,15,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1953/isb,csc291,0,0,3,2,10,1,7,6,22,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1953/isb,csc322,3,2,5,5,10,6,6,6,8,14,24,48,1,4,0,1,csc
ciit/fa14-bcs-1953/isb,csc371,1,10,5,2,7,5,3,2,15,45,23,35,10,10,7,1,csc
ciit/fa14-bcs-1953/isb,hum111,8,6,9,9,4,4,2,9,11,45,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1953/isb,mth231,4,7,9,1,4,10,9,1,5,27,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1953/isb,mth262,8,6,1,8,9,4,10,8,24,16,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1975/isb,csc291,0,10,9,7,5,10,9,10,21,14,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1975/isb,csc322,8,2,8,0,4,8,8,5,5,12,24,45,5,9,3,3,csc
