Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,csc336,8,6,7,1,5,2,4,6,21,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.94
ciit/fa14-bse-1109/isb,csc336,5,4,10,3,7,10,6,1,22,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.61
ciit/fa14-bse-1110/isb,csc336,8,7,2,1,2,8,10,5,19,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.04
ciit/fa14-bse-116/isb,csc336,4,4,1,8,6,7,2,10,25,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.95
ciit/fa14-bse-1173/isb,csc336,2,10,5,9,10,9,9,10,21,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.52
ciit/fa14-bse-1194/isb,csc336,10,4,2,5,5,1,9,9,21,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.75
ciit/fa14-bse-1202/isb,csc336,3,5,3,1,2,1,2,2,18,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa14-bse-1204/isb,csc336,6,4,9,6,3,5,5,10,24,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.79
ciit/fa14-bse-1267/isb,csc336,2,5,3,9,3,8,1,9,24,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.13
ciit/fa14-bse-1306/isb,csc336,3,9,4,8,9,9,9,6,18,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.19
ciit/fa14-bse-1307/isb,csc336,7,2,1,6,7,6,4,7,15,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.23
ciit/fa14-bse-1313/isb,csc336,10,9,7,2,6,7,4,9,21,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa14-bse-1345/isb,csc336,10,4,4,7,10,10,4,10,17,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.64
