Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc301,5,6,1,4,5,10,10,5,20,27,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc336,10,8,2,7,8,8,0,4,25,15,24,36,4,2,10,0,csc
ciit/fa14-bcs-106/isb,csc339,3,4,10,1,8,1,1,2,12,41,23,43,0,7,8,7,csc
ciit/fa14-bcs-106/isb,csc462,1,3,9,1,7,0,10,9,4,13,20,32,7,1,0,3,csc
ciit/fa14-bcs-106/isb,mth242,4,7,5,6,6,2,9,9,12,29,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1092/isb,csc301,4,1,2,1,4,1,6,3,16,11,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc336,3,4,8,0,3,1,0,3,3,20,25,28,1,6,1,2,csc
ciit/fa14-bcs-1092/isb,csc339,5,10,3,1,5,3,9,3,10,30,15,44,5,8,10,3,csc
ciit/fa14-bcs-1092/isb,csc462,3,3,8,3,5,4,4,10,16,38,20,37,0,1,3,4,csc
ciit/fa14-bcs-1092/isb,mth242,8,8,9,5,6,3,3,10,15,30,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1139/isb,csc301,7,1,6,2,4,4,5,10,23,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc336,9,0,1,7,6,4,0,1,15,20,25,30,7,10,10,9,csc
ciit/fa14-bcs-1139/isb,csc339,3,2,10,3,8,2,0,6,0,44,15,35,8,6,7,4,csc
ciit/fa14-bcs-1139/isb,csc462,9,5,3,3,7,6,4,10,12,24,16,32,0,5,3,6,csc
ciit/fa14-bcs-1139/isb,mth242,1,5,1,2,3,5,2,5,4,40,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1189/isb,csc301,6,9,9,7,5,10,2,7,1,42,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc336,1,8,1,3,4,2,0,2,23,29,17,31,9,10,3,5,csc
ciit/fa14-bcs-1189/isb,csc339,3,4,1,0,2,7,6,0,16,19,17,46,5,0,3,6,csc
ciit/fa14-bcs-1189/isb,csc462,10,10,10,3,9,7,3,1,5,24,25,30,0,0,2,0,csc
ciit/fa14-bcs-1189/isb,mth242,1,1,8,5,0,10,2,1,7,35,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1190/isb,csc301,3,4,4,5,0,6,7,10,5,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc336,5,8,3,5,3,8,10,9,18,10,21,37,9,0,8,8,csc
ciit/fa14-bcs-1190/isb,csc339,7,1,2,2,7,10,10,1,8,16,17,49,3,10,7,5,csc
ciit/fa14-bcs-1190/isb,csc462,9,5,7,8,8,5,4,4,7,10,17,43,0,4,1,9,csc
ciit/fa14-bcs-1190/isb,mth242,7,6,9,7,5,10,10,7,22,30,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1241/isb,csc301,10,10,7,9,1,3,9,4,7,30,NULL,NULL,NULL,NULL,NULL,NULL,csc
