Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,csc101,7,4,9,4,7,10,8,6,17,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.6
ciit/fa14-bse-1051/isb,eee121,9,1,9,5,8,3,2,6,21,32,NULL,NULL,NULL,NULL,NULL,NULL,eee,2.99
ciit/fa14-bse-1051/isb,hum100,9,8,3,2,9,8,1,2,25,45,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.44
ciit/fa14-bse-1051/isb,hum110,1,6,1,8,3,1,4,9,22,39,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.6
ciit/fa14-bse-1109/isb,csc101,5,4,2,3,1,2,10,1,18,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.28
ciit/fa14-bse-1109/isb,eee121,4,5,2,7,1,4,5,6,17,41,NULL,NULL,NULL,NULL,NULL,NULL,eee,2.95
ciit/fa14-bse-1109/isb,hum100,9,10,8,7,1,4,8,1,21,31,NULL,NULL,NULL,NULL,NULL,NULL,hum,3
ciit/fa14-bse-1109/isb,hum110,7,9,6,2,9,9,1,5,23,26,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.96
ciit/fa14-bse-1110/isb,csc101,7,5,3,6,10,1,2,8,18,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.72
ciit/fa14-bse-1110/isb,eee121,6,2,4,5,5,3,6,5,21,29,NULL,NULL,NULL,NULL,NULL,NULL,eee,2.83
ciit/fa14-bse-1110/isb,hum100,10,7,4,3,8,6,2,4,24,26,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.7
ciit/fa14-bse-1110/isb,hum110,1,5,4,2,2,10,2,7,23,25,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.31
ciit/fa14-bse-116/isb,csc101,2,6,3,8,1,3,1,5,21,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.13
ciit/fa14-bse-116/isb,eee121,3,8,5,4,4,3,10,2,19,25,NULL,NULL,NULL,NULL,NULL,NULL,eee,2.83
ciit/fa14-bse-116/isb,hum100,7,7,6,9,2,2,1,5,22,47,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.06
ciit/fa14-bse-116/isb,hum110,2,7,4,3,5,9,7,2,17,43,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.81
ciit/fa14-bse-1173/isb,csc101,2,5,9,4,1,2,2,9,17,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa14-bse-1173/isb,eee121,3,6,2,8,7,9,6,1,23,29,NULL,NULL,NULL,NULL,NULL,NULL,eee,3.07
ciit/fa14-bse-1173/isb,hum100,2,8,9,3,9,1,6,5,24,41,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.67
ciit/fa14-bse-1173/isb,hum110,8,2,6,8,10,7,4,4,15,37,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.44
ciit/fa14-bse-1194/isb,csc101,6,1,4,9,4,5,7,10,19,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.54
ciit/fa14-bse-1194/isb,eee121,7,8,8,1,1,6,6,1,16,33,NULL,NULL,NULL,NULL,NULL,NULL,eee,3.16
