Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,BIO231,10,5,7,6,2,10,1,2,16,36,20,37,4,3,3,2,BIO
ciit/fa14-bcs-106/isb,csc211,3,10,10,9,5,4,2,2,8,45,21,48,1,6,0,0,csc
ciit/fa14-bcs-106/isb,csc241,9,3,1,9,1,8,8,4,19,34,20,42,1,2,3,2,csc
ciit/fa14-bcs-106/isb,hum103,5,6,1,0,4,9,1,4,25,10,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-106/isb,mth105,9,10,4,10,4,6,8,2,18,23,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1092/isb,BIO231,9,3,5,8,9,7,6,0,16,48,24,37,1,4,2,2,BIO
ciit/fa14-bcs-1092/isb,csc211,10,1,6,5,8,8,6,5,6,49,18,25,10,7,5,3,csc
ciit/fa14-bcs-1092/isb,csc241,4,3,7,7,3,7,10,7,25,47,19,47,1,10,6,0,csc
ciit/fa14-bcs-1092/isb,hum103,1,2,7,3,0,9,8,8,19,38,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1092/isb,mth105,6,1,0,2,5,2,1,10,17,25,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1139/isb,BIO231,10,5,3,6,3,4,6,7,16,50,20,26,7,8,2,1,BIO
ciit/fa14-bcs-1139/isb,csc211,8,4,10,6,9,2,1,3,11,18,24,39,8,9,4,10,csc
ciit/fa14-bcs-1139/isb,csc241,9,2,9,4,4,7,5,5,0,27,23,25,4,1,7,8,csc
ciit/fa14-bcs-1139/isb,hum103,9,9,5,5,6,2,6,7,1,31,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1139/isb,mth105,10,1,7,1,1,5,8,2,23,17,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1189/isb,BIO231,6,8,1,8,9,8,3,2,18,45,18,49,8,2,5,3,BIO
ciit/fa14-bcs-1189/isb,csc211,0,1,9,10,1,2,3,10,22,28,24,37,2,5,6,3,csc
ciit/fa14-bcs-1189/isb,csc241,2,7,4,10,0,5,6,6,13,35,22,25,7,9,9,3,csc
ciit/fa14-bcs-1189/isb,hum103,0,7,10,3,0,8,0,10,20,16,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1189/isb,mth105,9,4,8,8,7,6,10,1,15,10,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1190/isb,BIO231,4,7,4,10,2,5,1,10,17,48,22,29,4,5,4,5,BIO
ciit/fa14-bcs-1190/isb,csc211,5,1,1,3,7,8,1,0,8,10,17,35,8,4,4,3,csc
ciit/fa14-bcs-1190/isb,csc241,5,9,6,7,6,9,2,10,22,27,17,47,7,8,8,3,csc
ciit/fa14-bcs-1190/isb,hum103,3,7,7,8,3,9,4,9,3,27,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1190/isb,mth105,10,4,1,6,0,1,9,6,6,31,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1241/isb,BIO231,9,0,2,3,5,2,8,8,12,22,19,38,6,10,7,10,BIO
ciit/fa14-bcs-1241/isb,csc211,4,7,8,0,8,3,5,1,22,28,24,38,7,1,0,8,csc
ciit/fa14-bcs-1241/isb,csc241,10,4,6,10,0,6,8,9,14,14,24,40,7,7,0,2,csc
ciit/fa14-bcs-1241/isb,hum103,6,4,8,8,9,2,9,5,2,25,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1241/isb,mth105,8,1,0,3,3,10,10,10,4,17,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1255/isb,BIO231,3,5,2,5,7,8,2,6,18,15,17,32,4,10,4,4,BIO
ciit/fa14-bcs-1255/isb,csc211,9,5,4,6,4,5,8,0,20,50,21,38,1,2,9,7,csc
ciit/fa14-bcs-1255/isb,csc241,0,5,3,3,4,1,0,0,25,44,25,44,6,6,3,9,csc
ciit/fa14-bcs-1255/isb,hum103,1,9,4,10,6,10,8,6,6,21,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1255/isb,mth105,4,0,3,4,1,1,4,10,22,21,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1272/isb,BIO231,9,3,5,4,4,2,0,9,7,47,25,42,0,0,1,10,BIO
ciit/fa14-bcs-1272/isb,csc211,0,0,7,5,5,6,6,10,4,28,24,41,3,7,6,4,csc
ciit/fa14-bcs-1272/isb,csc241,8,4,5,8,6,2,8,5,4,48,21,35,9,7,9,4,csc
ciit/fa14-bcs-1272/isb,hum103,0,1,4,2,10,5,6,9,5,39,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1272/isb,mth105,10,4,1,9,6,5,10,7,13,25,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1354/isb,BIO231,8,4,9,1,6,9,4,2,20,47,15,49,9,1,9,10,BIO
ciit/fa14-bcs-1354/isb,csc211,5,9,7,0,4,8,9,2,13,47,19,39,3,3,3,6,csc
ciit/fa14-bcs-1354/isb,csc241,6,10,2,9,10,2,6,2,0,28,20,45,0,3,8,10,csc
ciit/fa14-bcs-1354/isb,hum103,9,6,9,8,0,1,3,9,4,13,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1354/isb,mth105,3,6,6,4,8,3,9,7,2,11,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1429/isb,BIO231,8,1,10,1,10,8,1,2,11,35,20,45,6,0,7,6,BIO
ciit/fa14-bcs-1429/isb,csc211,6,0,6,0,0,5,9,8,10,39,19,37,4,4,0,10,csc
ciit/fa14-bcs-1429/isb,csc241,5,8,0,5,2,7,7,3,1,46,15,45,9,2,8,6,csc
ciit/fa14-bcs-1429/isb,hum103,9,3,1,7,9,2,3,0,17,34,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1429/isb,mth105,7,8,6,4,4,6,3,6,22,38,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1443/isb,BIO231,9,1,3,6,6,10,0,2,15,35,16,28,1,1,6,1,BIO
ciit/fa14-bcs-1443/isb,csc211,3,9,8,6,0,1,9,8,22,11,24,50,9,3,5,7,csc
ciit/fa14-bcs-1443/isb,csc241,1,5,8,0,8,1,0,8,20,47,23,33,1,9,0,5,csc
ciit/fa14-bcs-1443/isb,hum103,8,1,1,6,5,8,2,1,23,45,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1443/isb,mth105,4,0,4,6,10,5,2,8,4,18,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1509/isb,BIO231,4,10,5,9,0,8,3,0,21,32,23,50,1,4,6,9,BIO
ciit/fa14-bcs-1509/isb,csc211,5,0,7,8,2,7,3,3,1,31,15,40,0,6,7,7,csc
ciit/fa14-bcs-1509/isb,csc241,8,7,3,3,7,4,9,8,10,45,22,34,10,2,10,9,csc
ciit/fa14-bcs-1509/isb,hum103,5,0,4,3,0,5,0,3,9,25,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1509/isb,mth105,9,6,0,5,10,10,3,3,6,11,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1600/isb,BIO231,10,1,3,8,1,1,9,2,20,22,19,41,0,8,1,7,BIO
ciit/fa14-bcs-1600/isb,csc211,2,6,2,8,4,0,2,0,16,34,15,27,9,7,8,9,csc
ciit/fa14-bcs-1600/isb,csc241,3,7,10,7,4,3,8,6,25,23,21,30,6,6,1,10,csc
ciit/fa14-bcs-1600/isb,hum103,9,2,6,3,0,10,0,2,8,18,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1600/isb,mth105,9,1,1,1,1,0,4,1,25,17,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-163/isb,BIO231,8,8,4,8,6,2,4,0,23,16,16,50,9,5,0,1,BIO
ciit/fa14-bcs-163/isb,csc211,0,1,5,9,2,1,0,1,16,13,19,32,5,7,2,0,csc
ciit/fa14-bcs-163/isb,csc241,2,3,2,8,0,4,3,6,24,10,19,49,10,0,10,3,csc
ciit/fa14-bcs-163/isb,hum103,4,3,6,5,0,10,1,6,22,37,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-163/isb,mth105,3,4,7,1,8,5,7,0,13,20,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1652/isb,BIO231,2,2,5,2,10,5,1,7,18,46,25,40,8,3,10,8,BIO
ciit/fa14-bcs-1652/isb,csc211,0,9,0,5,9,6,8,10,2,39,20,44,5,1,3,3,csc
ciit/fa14-bcs-1652/isb,csc241,3,2,10,7,6,5,10,2,22,26,22,38,4,5,3,5,csc
ciit/fa14-bcs-1652/isb,hum103,9,0,7,5,7,3,3,3,0,11,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1652/isb,mth105,0,8,7,3,9,0,10,7,23,28,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1780/isb,BIO231,6,4,9,5,8,3,0,3,0,20,21,49,1,0,8,2,BIO
ciit/fa14-bcs-1780/isb,csc211,6,0,8,7,4,8,6,3,1,30,19,25,6,8,4,4,csc
ciit/fa14-bcs-1780/isb,csc241,7,6,6,7,8,7,5,9,22,42,25,28,8,6,10,5,csc
ciit/fa14-bcs-1780/isb,hum103,3,0,7,0,5,0,2,7,12,48,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1780/isb,mth105,2,10,7,9,5,5,1,7,9,46,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1796/isb,BIO231,0,1,3,9,5,6,5,6,23,46,24,45,3,5,5,3,BIO
ciit/fa14-bcs-1796/isb,csc211,6,10,8,5,7,6,7,2,0,21,22,46,2,1,2,6,csc
ciit/fa14-bcs-1796/isb,csc241,0,1,10,10,2,1,0,7,7,27,25,48,8,0,10,9,csc
ciit/fa14-bcs-1796/isb,hum103,7,4,3,0,2,1,6,2,11,38,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1796/isb,mth105,8,8,7,0,1,9,8,2,21,34,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1813/isb,BIO231,7,10,1,8,5,9,1,0,6,25,25,49,4,10,10,2,BIO
ciit/fa14-bcs-1813/isb,csc211,5,10,2,1,9,2,3,9,24,44,23,39,3,5,1,5,csc
ciit/fa14-bcs-1813/isb,csc241,9,3,3,8,7,10,2,3,24,44,25,40,8,2,6,8,csc
ciit/fa14-bcs-1813/isb,hum103,0,10,8,6,7,10,1,5,13,23,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1813/isb,mth105,0,2,8,1,8,8,5,8,0,16,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1821/isb,BIO231,1,4,6,1,0,1,7,2,1,10,18,30,8,7,4,8,BIO
ciit/fa14-bcs-1821/isb,csc211,8,1,5,4,5,3,8,2,15,11,25,25,2,9,0,10,csc
ciit/fa14-bcs-1821/isb,csc241,6,0,2,1,4,2,7,7,3,15,17,25,6,2,6,4,csc
ciit/fa14-bcs-1821/isb,hum103,8,8,4,7,1,7,10,8,3,41,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1821/isb,mth105,5,9,1,3,9,0,7,8,4,18,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1860/isb,BIO231,6,10,8,3,3,5,10,9,6,40,24,38,6,7,2,3,BIO
ciit/fa14-bcs-1860/isb,csc211,3,10,9,2,6,10,6,10,21,41,23,49,2,9,2,3,csc
ciit/fa14-bcs-1860/isb,csc241,2,10,10,4,6,9,2,7,10,23,16,39,9,3,9,2,csc
ciit/fa14-bcs-1860/isb,hum103,7,0,6,10,2,6,0,7,4,37,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1860/isb,mth105,7,4,0,8,4,4,0,8,18,40,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1953/isb,BIO231,7,4,4,5,0,8,1,9,4,25,17,27,4,2,0,9,BIO
ciit/fa14-bcs-1953/isb,csc211,7,10,7,10,9,10,7,9,19,43,19,41,5,9,1,2,csc
ciit/fa14-bcs-1953/isb,csc241,3,7,7,1,5,4,8,7,11,24,19,41,1,3,5,5,csc
ciit/fa14-bcs-1953/isb,hum103,9,3,3,1,10,5,1,3,0,18,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1953/isb,mth105,9,8,2,4,4,10,0,10,16,36,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1975/isb,BIO231,0,2,0,5,0,5,8,3,17,12,15,49,8,4,8,5,BIO
ciit/fa14-bcs-1975/isb,csc211,7,8,8,0,9,10,4,1,21,41,21,35,0,6,9,10,csc
ciit/fa14-bcs-1975/isb,csc241,4,4,7,3,3,1,8,4,10,21,16,44,3,3,8,3,csc
ciit/fa14-bcs-1975/isb,hum103,10,9,9,2,0,1,6,10,11,14,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1975/isb,mth105,10,3,4,7,8,5,2,9,24,32,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1983/isb,BIO231,2,4,8,2,3,9,3,7,2,15,23,41,2,9,3,0,BIO
ciit/fa14-bcs-1983/isb,csc211,3,5,10,10,8,3,8,4,15,41,25,26,9,9,9,8,csc
ciit/fa14-bcs-1983/isb,csc241,5,4,9,7,0,10,8,4,7,46,25,48,9,8,0,6,csc
ciit/fa14-bcs-1983/isb,hum103,1,5,3,6,1,2,5,9,18,34,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1983/isb,mth105,8,10,5,7,3,6,2,1,23,33,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1994/isb,BIO231,1,6,10,8,2,10,4,4,18,32,19,43,8,4,8,4,BIO
ciit/fa14-bcs-1994/isb,csc211,8,0,8,5,10,10,9,7,15,42,25,26,6,0,4,4,csc
ciit/fa14-bcs-1994/isb,csc241,1,5,8,1,1,1,9,0,10,46,19,29,0,4,6,5,csc
ciit/fa14-bcs-1994/isb,hum103,7,4,0,5,10,2,8,10,1,40,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1994/isb,mth105,5,2,8,0,9,2,7,0,14,40,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-202/isb,BIO231,3,3,2,1,10,9,8,10,20,24,25,37,3,1,5,10,BIO
ciit/fa14-bcs-202/isb,csc211,9,5,1,4,8,1,9,8,18,24,21,46,9,5,3,1,csc
ciit/fa14-bcs-202/isb,csc241,6,3,7,3,10,9,1,2,4,17,21,36,9,3,9,3,csc
ciit/fa14-bcs-202/isb,hum103,0,7,8,6,8,9,0,10,23,36,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-202/isb,mth105,3,9,2,0,2,1,8,6,25,36,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-2089/isb,BIO231,0,10,10,3,8,2,2,9,4,19,15,39,5,10,0,1,BIO
ciit/fa14-bcs-2089/isb,csc211,1,7,7,0,2,6,5,6,2,26,23,39,6,3,5,4,csc
ciit/fa14-bcs-2089/isb,csc241,3,0,7,1,4,0,8,3,4,37,24,33,2,2,0,4,csc
ciit/fa14-bcs-2089/isb,hum103,2,8,7,5,10,0,5,2,9,42,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-2089/isb,mth105,0,1,1,7,8,5,10,6,13,14,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-2116/isb,BIO231,5,7,1,1,8,2,4,4,19,40,18,49,10,10,0,0,BIO
ciit/fa14-bcs-2116/isb,csc211,6,6,10,8,4,8,10,6,24,47,20,41,6,10,8,10,csc
ciit/fa14-bcs-2116/isb,csc241,2,10,5,0,6,3,1,4,6,49,22,36,6,3,5,9,csc
ciit/fa14-bcs-2116/isb,hum103,8,3,1,5,6,3,7,4,20,10,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-2116/isb,mth105,5,6,1,9,4,6,7,5,4,14,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-2251/isb,BIO231,6,7,4,4,6,0,8,9,18,36,19,34,0,0,5,10,BIO
ciit/fa14-bcs-2251/isb,csc211,5,8,3,10,6,4,8,1,25,13,23,47,1,1,2,7,csc
ciit/fa14-bcs-2251/isb,csc241,7,4,1,9,6,10,0,0,20,36,24,39,5,6,6,2,csc
ciit/fa14-bcs-2251/isb,hum103,1,10,7,0,8,5,4,5,2,19,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-2251/isb,mth105,6,10,7,5,4,0,7,8,3,47,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-2270/isb,BIO231,1,1,7,4,9,6,9,5,12,38,24,37,4,1,2,1,BIO
ciit/fa14-bcs-2270/isb,csc211,0,7,2,2,4,9,10,7,21,15,22,40,10,7,7,7,csc
ciit/fa14-bcs-2270/isb,csc241,6,3,3,0,9,6,8,4,25,29,25,39,1,9,0,9,csc
ciit/fa14-bcs-2270/isb,hum103,1,3,2,9,2,0,7,3,23,29,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-2270/isb,mth105,7,2,1,7,1,6,2,7,5,44,NULL,NULL,NULL,NULL,NULL,NULL,mth
