Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc101,6,0,8,8,4,6,8,3,7,14,21,42,2,9,5,7,csc
ciit/fa14-bcs-106/isb,hum100,3,2,8,2,1,7,3,4,22,27,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-106/isb,hum110,2,6,3,7,2,2,8,10,0,26,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-106/isb,phy121,3,9,3,1,8,2,0,5,5,25,23,36,0,7,8,0,phy
ciit/fa14-bcs-1092/isb,csc101,3,6,9,4,10,9,3,0,20,19,15,35,7,5,5,4,csc
ciit/fa14-bcs-1092/isb,hum100,3,2,2,2,2,4,10,2,5,44,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1092/isb,hum110,5,5,4,2,8,0,2,10,1,34,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1092/isb,phy121,4,6,2,8,8,0,7,9,3,33,21,32,1,3,1,4,phy
ciit/fa14-bcs-1139/isb,csc101,2,4,2,7,1,6,4,5,20,27,23,34,0,1,2,7,csc
ciit/fa14-bcs-1139/isb,hum100,2,5,0,5,3,3,7,4,13,42,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1139/isb,hum110,7,3,8,8,1,6,4,1,17,46,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1139/isb,phy121,7,7,3,9,1,4,3,0,14,29,20,43,7,0,1,8,phy
ciit/fa14-bcs-1189/isb,csc101,5,10,0,8,2,10,1,6,20,39,17,41,7,0,10,8,csc
ciit/fa14-bcs-1189/isb,hum100,3,0,0,5,4,2,4,10,20,27,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1189/isb,hum110,0,3,8,6,7,5,6,2,8,22,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1189/isb,phy121,3,6,7,1,4,4,6,5,15,34,15,37,10,7,2,7,phy
ciit/fa14-bcs-1190/isb,csc101,5,6,6,2,1,6,10,6,18,22,15,43,0,0,10,2,csc
ciit/fa14-bcs-1190/isb,hum100,3,9,8,2,4,6,2,1,10,42,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1190/isb,hum110,4,0,9,4,4,5,4,6,17,27,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1190/isb,phy121,7,10,8,9,2,2,5,5,6,38,15,28,3,10,0,5,phy
ciit/fa14-bcs-1241/isb,csc101,4,1,6,4,1,8,9,1,1,38,24,47,0,9,3,2,csc
