Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-2082/isb,csc211,6,6,6,8,10,5,4,6,22,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa14-bse-2104/isb,csc211,2,6,1,10,9,3,10,6,17,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa14-bse-2117/isb,csc211,9,8,9,9,3,6,8,2,16,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.17
ciit/fa14-bse-2125/isb,csc211,4,9,4,3,8,1,8,7,15,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.72
ciit/fa14-bse-2133/isb,csc211,7,1,8,2,9,2,8,7,20,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa14-bse-2137/isb,csc211,3,9,2,7,10,3,10,8,18,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa14-bse-2180/isb,csc211,9,4,7,7,9,8,2,2,16,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.52
ciit/fa14-bse-219/isb,csc211,4,2,7,10,5,5,7,10,18,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.3
ciit/fa14-bse-2191/isb,csc211,8,6,10,5,10,4,1,5,20,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.79
ciit/fa14-bse-2206/isb,csc211,5,9,6,9,1,2,10,10,24,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa14-bse-2226/isb,csc211,9,3,2,2,8,7,10,6,23,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa14-bse-2231/isb,csc211,3,1,8,5,8,2,10,10,17,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.35
ciit/fa14-bse-2258/isb,csc211,3,1,1,8,4,6,10,6,16,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.28
ciit/fa14-bse-2289/isb,csc211,5,7,9,10,5,10,4,5,20,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.55
ciit/fa14-bse-23/isb,csc211,4,3,3,1,5,8,1,4,21,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.6
ciit/fa14-bse-2302/isb,csc211,10,8,5,10,5,2,9,3,21,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa14-bse-2306/isb,csc211,4,5,5,6,6,1,7,4,15,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.04
ciit/fa14-bse-2313/isb,csc211,10,3,8,7,8,8,3,7,18,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.35
ciit/fa14-bse-2315/isb,csc211,1,4,7,4,6,5,5,7,24,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.44
ciit/fa14-bse-2399/isb,csc211,4,3,8,3,6,10,6,10,20,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.9
ciit/fa14-bse-2418/isb,csc211,4,7,8,3,9,4,6,10,21,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.38
ciit/fa14-bse-2425/isb,csc211,5,1,4,7,4,2,7,4,18,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.62
ciit/fa14-bse-2461/isb,csc211,1,9,3,9,4,7,4,8,15,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.9
ciit/fa14-bse-2462/isb,csc211,3,7,9,4,4,6,4,3,19,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.29
ciit/fa14-bse-2479/isb,csc211,3,1,3,2,8,10,6,1,17,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa14-bse-2572/isb,csc211,9,5,2,4,2,9,9,2,22,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.9
ciit/fa14-bse-2584/isb,csc211,8,9,5,8,2,2,10,7,20,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.63
ciit/fa14-bse-2604/isb,csc211,6,5,9,6,6,10,9,5,22,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa14-bse-2615/isb,csc211,4,1,5,1,3,3,4,9,19,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa14-bse-2652/isb,csc211,1,1,9,9,1,9,3,8,25,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.09
ciit/fa14-bse-2671/isb,csc211,9,4,9,8,7,9,2,10,23,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.23
ciit/fa14-bse-2698/isb,csc211,8,6,8,5,7,1,2,4,17,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.92
ciit/fa14-bse-2773/isb,csc211,7,7,4,8,6,1,8,3,22,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.38
ciit/fa14-bse-2778/isb,csc211,9,8,1,8,7,6,4,3,18,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa14-bse-2779/isb,csc211,6,1,2,2,7,1,2,1,20,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.32
ciit/fa14-bse-2781/isb,csc211,1,10,10,4,6,8,5,1,24,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-2783/isb,csc211,8,8,1,3,1,1,3,9,25,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-671/isb,csc211,1,4,2,2,8,5,8,6,22,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa14-bse-677/isb,csc211,4,8,10,7,8,4,7,5,21,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.32
ciit/fa14-bse-679/isb,csc211,7,4,10,5,1,1,2,10,19,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.68
ciit/fa14-bse-692/isb,csc211,5,9,10,4,6,10,6,8,16,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.9
ciit/fa14-bse-747/isb,csc211,1,10,6,8,9,10,9,4,18,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.09
ciit/fa14-bse-765/isb,csc211,4,6,8,3,3,4,2,4,23,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa14-bse-843/isb,csc211,2,6,7,6,1,8,5,7,23,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.88
ciit/fa14-bse-910/isb,csc211,2,3,3,8,1,6,8,9,15,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa14-bse-914/isb,csc211,8,9,1,2,3,9,2,7,17,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa14-bse-939/isb,csc211,3,8,8,3,4,2,2,9,22,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.68
ciit/fa14-bse-950/isb,csc211,1,10,6,9,1,2,1,7,19,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.65
ciit/fa14-bse-966/isb,csc211,4,3,3,2,8,5,2,8,17,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.46
ciit/fa14-bse-976/isb,csc211,10,4,7,3,5,9,10,8,15,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.29
ciit/fa14-bse-99/isb,csc211,8,8,10,2,4,2,8,3,25,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
