Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc102,1,0,7,8,7,7,7,1,5,45,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc103,5,5,5,1,7,9,10,3,12,34,24,30,7,3,6,6,csc
ciit/fa14-bcs-106/isb,csc110,7,6,9,1,1,4,1,1,18,13,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,eee241,10,7,4,9,7,10,1,4,16,12,NULL,NULL,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-106/isb,hum102,5,6,8,0,1,5,0,1,12,47,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-106/isb,mth104,9,7,3,9,10,4,1,3,8,45,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1092/isb,csc102,6,8,8,2,9,6,10,4,21,32,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc103,2,1,10,10,5,2,3,0,17,50,22,34,3,9,4,3,csc
ciit/fa14-bcs-1092/isb,csc110,9,10,4,2,3,6,5,8,3,14,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,eee241,6,1,9,6,7,10,2,3,21,28,NULL,NULL,NULL,NULL,NULL,NULL,eee
ciit/fa14-bcs-1092/isb,hum102,2,4,4,6,0,8,2,1,6,48,NULL,NULL,NULL,NULL,NULL,NULL,hum
ciit/fa14-bcs-1092/isb,mth104,5,8,6,0,8,9,5,5,5,39,NULL,NULL,NULL,NULL,NULL,NULL,mth
ciit/fa14-bcs-1139/isb,csc102,1,9,4,0,8,1,5,10,12,10,NULL,NULL,NULL,NULL,NULL,NULL,csc
