Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,csc322,9,9,3,10,2,3,9,2,19,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.58
ciit/fa14-bse-1109/isb,csc322,2,10,3,6,3,3,3,7,22,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.94
ciit/fa14-bse-1110/isb,csc322,4,1,8,5,8,8,5,8,25,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.29
ciit/fa14-bse-116/isb,csc322,4,2,2,5,10,2,5,10,17,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.25
ciit/fa14-bse-1173/isb,csc322,8,6,8,4,9,2,3,8,24,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.19
ciit/fa14-bse-1194/isb,csc322,2,5,2,10,1,5,4,5,16,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.99
ciit/fa14-bse-1202/isb,csc322,2,8,7,6,5,2,3,4,20,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-1204/isb,csc322,4,2,3,4,1,9,1,4,15,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.93
ciit/fa14-bse-1267/isb,csc322,10,6,4,6,8,2,3,3,16,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.54
ciit/fa14-bse-1306/isb,csc322,8,1,7,6,2,10,2,1,21,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.21
ciit/fa14-bse-1307/isb,csc322,2,5,8,7,9,10,10,3,25,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.5
ciit/fa14-bse-1313/isb,csc322,2,8,10,1,8,10,7,9,23,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.42
